
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)"

="2012.year#c.totaltreat_pf_n",="0.065**",="0.054",="0.065**",="0.065**",="0.065**",="0.054",="0.054",="0.054",="0.054",="0.051",="-0.009",="0.051",="0.052",="0.051",="-0.009",="-0.009",="-0.009",="-0.009",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.027)",="(0.036)",="(0.027)",="(0.027)",="(0.027)",="(0.036)",="(0.036)",="(0.036)",="(0.036)",="(0.038)",="(0.058)",="(0.038)",="(0.038)",="(0.038)",="(0.058)",="(0.058)",="(0.058)",="(0.058)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pf_n",="0.031",="0.020",="0.031",="0.031",="0.031",="0.020",="0.020",="0.020",="0.020",="0.042",="-0.118**",="0.042",="0.042",="0.043",="-0.118**",="-0.117*",="-0.117*",="-0.116*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.029)",="(0.033)",="(0.029)",="(0.029)",="(0.029)",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.050)",="(0.060)",="(0.050)",="(0.050)",="(0.050)",="(0.060)",="(0.060)",="(0.060)",="(0.060)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pf_n",="0.051",="0.052",="0.052",="0.051",="0.050",="0.052",="0.052",="0.051",="0.051",="0.059",="-0.141**",="0.059",="0.058",="0.057",="-0.141**",="-0.139**",="-0.141**",="-0.141**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.032)",="(0.039)",="(0.032)",="(0.032)",="(0.032)",="(0.039)",="(0.039)",="(0.039)",="(0.039)",="(0.055)",="(0.066)",="(0.055)",="(0.055)",="(0.055)",="(0.066)",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pf_n",="0.076**",="0.069",="0.077**",="0.076**",="0.076**",="0.069",="0.069",="0.068",="0.068",="0.079",="-0.111",="0.079",="0.076",="0.079",="-0.111",="-0.110",="-0.112",="-0.112",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.037)",="(0.043)",="(0.037)",="(0.037)",="(0.037)",="(0.043)",="(0.043)",="(0.043)",="(0.043)",="(0.062)",="(0.077)",="(0.062)",="(0.062)",="(0.062)",="(0.077)",="(0.077)",="(0.076)",="(0.076)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pf_n",="0.070*",="0.048",="0.070*",="0.069*",="0.070*",="0.048",="0.048",="0.047",="0.047",="0.069",="-0.154*",="0.069",="0.065",="0.069",="-0.154*",="-0.153*",="-0.156*",="-0.156*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.039)",="(0.047)",="(0.039)",="(0.039)",="(0.039)",="(0.047)",="(0.047)",="(0.047)",="(0.047)",="(0.058)",="(0.083)",="(0.058)",="(0.058)",="(0.058)",="(0.083)",="(0.083)",="(0.083)",="(0.083)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.073",="-0.127",="0.078",="0.074",="0.073",="-0.127",="-0.125",="-0.123",="-0.123",="0.042",="-0.282",="0.039",="0.043",="0.043",="-0.282",="-0.279",="-0.279",="-0.279",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.118)",="(0.128)",="(0.118)",="(0.118)",="(0.118)",="(0.128)",="(0.128)",="(0.128)",="(0.128)",="(0.171)",="(0.187)",="(0.171)",="(0.171)",="(0.171)",="(0.187)",="(0.190)",="(0.190)",="(0.190)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.044",="0.034",="0.048",="0.044",="0.044",="0.034",="0.037",="0.037",="0.037",="0.228**",="0.103",="0.226**",="0.227**",="0.228**",="0.103",="0.105",="0.105",="0.105",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.081)",="(0.100)",="(0.080)",="(0.081)",="(0.080)",="(0.100)",="(0.101)",="(0.101)",="(0.101)",="(0.095)",="(0.149)",="(0.095)",="(0.096)",="(0.095)",="(0.149)",="(0.152)",="(0.152)",="(0.152)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.224***",="0.186*",="0.225***",="0.225***",="0.224***",="0.186*",="0.185*",="0.185*",="0.185*",="0.300***",="0.087",="0.300***",="0.302***",="0.300***",="0.087",="0.087",="0.088",="0.088",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.072)",="(0.095)",="(0.072)",="(0.072)",="(0.072)",="(0.095)",="(0.095)",="(0.095)",="(0.095)",="(0.090)",="(0.132)",="(0.090)",="(0.090)",="(0.090)",="(0.132)",="(0.131)",="(0.131)",="(0.131)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.139",="0.124",="0.141",="0.140",="0.139",="0.124",="0.124",="0.123",="0.123",="0.147",="-0.161",="0.147",="0.147",="0.146",="-0.161",="-0.160",="-0.160",="-0.160",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.087)",="(0.110)",="(0.087)",="(0.087)",="(0.087)",="(0.110)",="(0.110)",="(0.110)",="(0.110)",="(0.112)",="(0.154)",="(0.112)",="(0.112)",="(0.112)",="(0.154)",="(0.154)",="(0.154)",="(0.154)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.169*",="0.142",="0.172**",="0.167*",="0.164*",="0.142",="0.143",="0.139",="0.139",="0.261*",="-0.227",="0.259*",="0.256*",="0.248*",="-0.227",="-0.226",="-0.227",="-0.226",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.087)",="(0.114)",="(0.087)",="(0.088)",="(0.087)",="(0.114)",="(0.114)",="(0.114)",="(0.114)",="(0.136)",="(0.185)",="(0.136)",="(0.137)",="(0.135)",="(0.185)",="(0.186)",="(0.187)",="(0.187)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.146",="0.062",="0.148",="0.141",="0.146",="0.062",="0.064",="0.058",="0.059",="0.138",="-0.439***",="0.138",="0.130",="0.138",="-0.439***",="-0.438***",="-0.439***",="-0.438***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.110)",="(0.140)",="(0.110)",="(0.110)",="(0.110)",="(0.140)",="(0.139)",="(0.139)",="(0.139)",="(0.152)",="(0.167)",="(0.152)",="(0.152)",="(0.152)",="(0.167)",="(0.167)",="(0.167)",="(0.167)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.totaltreat_pw_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.158",="0.107",="0.159",="0.155",="0.158",="0.107",="0.107",="0.103",="0.103",="0.175",="-0.422**",="0.175",="0.165",="0.175",="-0.422**",="-0.421**",="-0.421**",="-0.420**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.114)",="(0.143)",="(0.113)",="(0.114)",="(0.113)",="(0.143)",="(0.143)",="(0.143)",="(0.143)",="(0.146)",="(0.183)",="(0.146)",="(0.145)",="(0.146)",="(0.183)",="(0.183)",="(0.183)",="(0.183)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.059",="0.009",="0.059",="0.059",="0.059",="0.009",="0.009",="0.010",="0.010",="0.045",="-0.062",="0.042",="0.045",="0.042",="-0.062",="-0.059",="-0.059",="-0.059",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.042)",="(0.044)",="(0.042)",="(0.042)",="(0.042)",="(0.044)",="(0.044)",="(0.044)",="(0.044)",="(0.070)",="(0.075)",="(0.070)",="(0.070)",="(0.070)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2010.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.011",="-0.026",="0.011",="0.011",="0.011",="-0.026",="-0.026",="-0.026",="-0.026",="0.041",="-0.038",="0.040",="0.041",="0.040",="-0.038",="-0.035",="-0.035",="-0.035",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.031)",="(0.033)",="(0.031)",="(0.031)",="(0.031)",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.034)",="(0.047)",="(0.034)",="(0.034)",="(0.034)",="(0.047)",="(0.047)",="(0.047)",="(0.047)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2011.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2012.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.058**",="0.046",="0.058**",="0.058**",="0.057**",="0.046",="0.046",="0.046",="0.046",="0.019",="-0.049",="0.018",="0.019",="0.019",="-0.049",="-0.049",="-0.048",="-0.048",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.025)",="(0.033)",="(0.025)",="(0.025)",="(0.025)",="(0.033)",="(0.033)",="(0.033)",="(0.033)",="(0.038)",="(0.055)",="(0.038)",="(0.038)",="(0.038)",="(0.055)",="(0.055)",="(0.055)",="(0.055)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2013.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.020",="0.014",="0.020",="0.020",="0.020",="0.014",="0.014",="0.013",="0.013",="-0.009",="-0.164***",="-0.009",="-0.009",="-0.008",="-0.164***",="-0.163***",="-0.163***",="-0.163***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.028)",="(0.031)",="(0.028)",="(0.028)",="(0.028)",="(0.031)",="(0.031)",="(0.031)",="(0.031)",="(0.051)",="(0.061)",="(0.051)",="(0.051)",="(0.051)",="(0.061)",="(0.061)",="(0.061)",="(0.061)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.042",="0.049",="0.042",="0.041",="0.041",="0.049",="0.049",="0.047",="0.047",="0.015",="-0.172***",="0.014",="0.013",="0.013",="-0.172***",="-0.171***",="-0.173***",="-0.173***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.032)",="(0.037)",="(0.032)",="(0.032)",="(0.032)",="(0.037)",="(0.037)",="(0.037)",="(0.037)",="(0.057)",="(0.066)",="(0.056)",="(0.057)",="(0.056)",="(0.066)",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.063*",="0.063",="0.063*",="0.062*",="0.063*",="0.063",="0.063",="0.062",="0.061",="0.034",="-0.138*",="0.033",="0.030",="0.034",="-0.138*",="-0.137*",="-0.139*",="-0.139*",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.036)",="(0.042)",="(0.036)",="(0.036)",="(0.036)",="(0.042)",="(0.042)",="(0.042)",="(0.042)",="(0.062)",="(0.075)",="(0.062)",="(0.063)",="(0.062)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.049",="0.031",="0.049",="0.048",="0.049",="0.031",="0.031",="0.029",="0.029",="0.029",="-0.182**",="0.029",="0.024",="0.029",="-0.182**",="-0.181**",="-0.184**",="-0.183**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.038)",="(0.045)",="(0.038)",="(0.038)",="(0.038)",="(0.045)",="(0.045)",="(0.045)",="(0.045)",="(0.059)",="(0.081)",="(0.059)",="(0.059)",="(0.059)",="(0.081)",="(0.081)",="(0.081)",="(0.081)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.003",="0.005",="0.003",="0.003",="0.003",="0.005",="0.005",="0.005",="0.005",="0.009**",="0.009*",="0.009**",="0.009**",="0.009**",="0.009*",="0.010*",="0.010*",="0.010*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.005",="0.003",="0.005*",="0.005",="0.005",="0.003",="0.003",="0.003",="0.003",="0.010***",="0.006",="0.011***",="0.010***",="0.010***",="0.006",="0.006",="0.006",="0.006"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

