
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="2016.year#c.totaltreat_pw",="",="",="",="",="",="0.184",="-0.047",="-0.031",="-0.033",="-0.033",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.408)",="(0.477)",="(0.479)",="(0.479)",="(0.479)",="",="",="",="",="",="",="",="",="",=""

="2009.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.045",="-0.062",="-0.058",="-0.058",="-0.058",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.070)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="",="",="",="",=""

="2010.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.041",="-0.038",="-0.034",="-0.035",="-0.035",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.034)",="(0.047)",="(0.047)",="(0.047)",="(0.047)",="",="",="",="",=""

="2011.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",=""

="2012.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.019",="-0.049",="-0.049",="-0.048",="-0.048",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.038)",="(0.055)",="(0.055)",="(0.055)",="(0.055)",="",="",="",="",=""

="2013.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="-0.009",="-0.164***",="-0.163***",="-0.162***",="-0.162***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.051)",="(0.061)",="(0.061)",="(0.061)",="(0.061)",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.015",="-0.172***",="-0.170***",="-0.172***",="-0.172***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.057)",="(0.066)",="(0.066)",="(0.066)",="(0.066)",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.034",="-0.138*",="-0.136*",="-0.138*",="-0.138*",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.062)",="(0.075)",="(0.075)",="(0.075)",="(0.075)",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf",="",="",="",="",="",="",="",="",="",="",="0.029",="-0.182**",="-0.180**",="-0.183**",="-0.182**",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.059)",="(0.081)",="(0.081)",="(0.081)",="(0.081)",="",="",="",="",=""

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.003",="0.005",="0.005",="0.005",="0.005"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.005",="0.003",="0.003",="0.005",="0.005"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.019***",="0.020***",="0.020***",="0.021***",="0.021***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.018***",="0.017***",="0.017***",="0.018***",="0.018***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.025***",="0.020***",="0.020***",="0.022***",="0.021***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.006)",="(0.006)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.023***",="0.016***",="0.017***",="0.021***",="0.021***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.005)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.022***",="0.012*",="0.013*",="0.015**",="0.015**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.005)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="N",="29008",="25223",="25223",="25223",="25223",="30117",="26356",="26356",="26356",="26356",="21366",="17630",="17630",="17630",="17630",="130654",="126255",="126255",="119813",="119813"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
