identificad,totalflows_07_08,totalflows_pw_07_08,totalflows_08_09,totalflows_pw_08_09,totalflows_09_10,totalflows_pw_09_10,totalflows_10_11,totalflows_pw_10_11
00108217007394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217007556,0.0,0.0,1.0,0.22222222,2.0,0.5,1.0,0.2857143
00108217007637,2.0,0.5714286,2.0,0.5714286,0.0,0.0,0.0,0.0
00108217007718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217007807,0.0,0.0,0.0,0.0,0.0,0.0,,
00108217007980,0.0,0.0,1.0,0.13333334,0.0,0.0,1.0,0.13333334
00108217008013,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
00108217008102,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.33333334
00108217008285,0.0,0.0,3.0,0.33333334,0.0,0.0,1.0,0.1
00108217008366,2.0,0.22222222,4.0,0.47058824,0.0,0.0,0.0,0.0
00108217008447,2.0,0.44444445,0.0,0.0,0.0,0.0,0.0,0.0
00108217008528,0.0,0.0,2.0,0.4,0.0,0.0,1.0,0.2857143
00108217008609,1.0,0.16666667,2.0,0.2857143,0.0,0.0,1.0,0.16666667
00108217008790,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22222222
00108217008870,1.0,0.16666667,2.0,0.4,0.0,0.0,1.0,0.4
00108217008951,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
00108217009095,2.0,0.26666668,3.0,0.3,2.0,0.21052632,1.0,0.11764706
00108217009176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857143
00108217009257,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.25
00108217009338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217009419,0.0,0.0,2.0,0.33333334,0.0,0.0,0.0,0.0
00108217009508,1.0,0.4,1.0,0.4,,,0.0,0.0
00108217009680,1.0,0.33333334,2.0,0.6666667,0.0,0.0,0.0,0.0
00108217009761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217009842,0.0,0.0,0.0,0.0,,,,
00108217009923,0.0,0.0,0.0,0.0,1.0,0.2857143,0.0,0.0
00108217010000,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
00108217010182,0.0,0.0,10.0,0.5882353,0.0,0.0,1.0,0.11111111
00108217010263,0.0,0.0,2.0,0.5,2.0,0.6666667,0.0,0.0
00108217010344,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.18181819
00108217010425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217010506,1.0,0.2,2.0,0.4,1.0,0.33333334,1.0,0.6666667
00108217010697,0.0,0.0,,,0.0,0.0,,
00108217010778,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75
00108217010930,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857143
00108217011073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217011154,1.0,0.4,4.0,0.8,0.0,0.0,1.0,0.13333334
00108217011235,0.0,0.0,2.0,0.44444445,0.0,0.0,0.0,0.0
00108217011316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217011405,0.0,0.0,1.0,0.33333334,0.0,0.0,0.0,0.0
00108217011588,1.0,0.15384616,0.0,0.0,0.0,0.0,0.0,0.0
00108217011669,0.0,0.0,0.0,0.0,,,0.0,0.0
00108217011740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217011820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217011901,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.33333334
00108217012045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217012126,0.0,0.0,3.0,0.42857143,1.0,0.16666667,0.0,0.0
00108217012207,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0
00108217012398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217012479,0.0,0.0,1.0,0.33333334,1.0,0.33333334,0.0,0.0
00108217012550,1.0,0.2,4.0,0.72727275,0.0,0.0,0.0,0.0
00108217012711,1.0,0.4,1.0,0.6666667,,,0.0,0.0
00108217012983,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
00108217013017,1.0,0.4,0.0,0.0,0.0,0.0,1.0,0.2857143
00108217013289,,,4.0,1.0,1.0,0.25,0.0,0.0
00108217013440,,,,,0.0,0.0,0.0,0.0
00113435000142,3.0,0.26086956,4.0,0.3478261,1.0,0.1,5.0,0.47619048
00116695000252,36.0,0.11980033,37.0,0.14041746,37.0,0.12671232,45.0,0.11873351
00119784000171,2.0,0.034188036,2.0,0.03508772,1.0,0.020408163,2.0,0.037383176
00123689000141,2.0,0.26666668,7.0,0.6666667,12.0,0.53333336,9.0,0.33333334
00126468000550,2.0,0.078431375,2.0,0.071428575,4.0,0.102564104,9.0,0.17475729
00126916000192,1.0,0.07692308,1.0,0.074074075,2.0,0.13793103,1.0,0.06896552
00128801000137,43.0,0.8269231,11.0,0.17322835,8.0,0.13445379,19.0,0.3140496
00131523000177,1.0,0.125,1.0,0.13333334,0.0,0.0,0.0,0.0
00135740000135,42.0,0.28282827,19.0,0.11143695,23.0,0.1253406,57.0,0.2787286
00137746000141,2.0,0.30769232,1.0,0.11764706,2.0,0.1904762,1.0,0.08695652
00137746000222,,,0.0,0.0,0.0,0.0,1.0,0.33333334
00140252000116,2.0,0.16666667,3.0,0.24,2.0,0.13793103,2.0,0.16666667
00142835000186,1.0,0.014184397,3.0,0.04347826,5.0,0.06849315,4.0,0.051948052
00143381000168,3.0,2.0,158.0,0.48466256,192.0,0.28742516,115.0,0.1554054
00143758000189,10.0,0.18181819,7.0,0.12173913,9.0,0.15,37.0,0.82222223
00153282000167,100.0,0.15974441,127.0,0.24121557,136.0,0.30459127,118.0,0.24481328
00154148000180,,,0.0,0.0,1.0,0.4,1.0,0.5
00161986000181,3.0,0.31578946,0.0,0.0,1.0,0.0952381,1.0,0.10526316
00163874000160,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333334
00167424000145,7.0,0.16091955,18.0,0.49315068,9.0,0.34615386,1.0,0.05882353
00169372000146,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18181819
00170192000184,0.0,0.0,12.0,1.6,1.0,0.6666667,0.0,0.0
00176652000181,38.0,0.2585034,38.0,0.2889734,39.0,0.29213482,36.0,0.19618529
00176732000137,1.0,0.017391304,10.0,0.14925373,2.0,0.03448276,2.0,0.049382716
00179280000147,446.0,0.64357865,272.0,0.38829407,177.0,0.32596686,329.0,0.5922592
00183877000165,1.0,0.11111111,4.0,0.3478261,1.0,0.06896552,7.0,0.3888889
00186472000180,284.0,0.48923343,211.0,0.34505314,388.0,0.49807444,364.0,0.45245495
00188111000173,7.0,0.3888889,6.0,0.33333334,5.0,0.2777778,4.0,0.16666667
00191202000168,6.0,0.15,2.0,0.053333335,1.0,0.025,7.0,0.15555556
00196642000108,17.0,0.1954023,5.0,0.06451613,6.0,0.07017544,7.0,0.07
00199070000110,2.0,0.23529412,1.0,0.10526316,1.0,0.10526316,1.0,0.08695652
00199070000382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00201891000144,7.0,0.16867469,7.0,0.16470589,12.0,0.28235295,10.0,0.24691358
00202787000174,10.0,0.10810811,18.0,0.23841059,17.0,0.25185186,19.0,0.25503355
00208674000186,0.0,0.0,1.0,0.03773585,0.0,0.0,1.0,0.03448276
00212004000133,5.0,0.2777778,3.0,0.16666667,1.0,0.083333336,1.0,0.09090909
00214596000122,1.0,0.09090909,4.0,0.2962963,1.0,0.06666667,0.0,0.0
00216175000130,2.0,0.23529412,3.0,0.33333334,2.0,0.25,1.0,0.125
00223284000185,11.0,0.20183486,5.0,0.11494253,6.0,0.13793103,1.0,0.020618556
00233065000772,2.0,0.18181819,1.0,0.1,9.0,0.9,2.0,0.15384616
00233342000151,2.0,0.102564104,3.0,0.13636364,7.0,0.28,8.0,0.27586207
00233695000151,67.0,0.44816053,17.0,0.09550562,29.0,0.15803815,49.0,0.21973094
00236883000133,88.0,0.28995058,53.0,0.2857143,46.0,0.35114503,30.0,0.25751072
00243375000182,0.0,0.0,2.0,0.33333334,2.0,0.26666668,4.0,0.47058824
00244333000166,7.0,0.12844037,6.0,0.114285715,9.0,0.18181819,5.0,0.10989011
00244594000186,2.0,0.074074075,1.0,0.039215688,2.0,0.08163265,7.0,0.25454545
00247641000145,0.0,0.0,1.0,0.05882353,1.0,0.055555556,1.0,0.057142857
00248529000129,10.0,0.044345897,48.0,0.30868167,10.0,0.088495575,13.0,0.112068966
00249264000183,,,1.0,2.0,1.0,0.2857143,1.0,0.18181819
00252663000101,4.0,0.42105263,3.0,0.6,0.0,0.0,0.0,0.0
00259055000110,25.0,0.26881722,23.0,0.23350254,16.0,0.18079096,33.0,0.3188406
00262512000126,3.0,0.11764706,0.0,0.0,1.0,0.03508772,2.0,0.07017544
00263313000132,4.0,0.14545454,2.0,0.06666667,4.0,0.121212125,4.0,0.11594203
00267114000100,2.0,0.6666667,1.0,0.22222222,1.0,0.18181819,4.0,0.61538464
00272996000194,9.0,0.23076923,6.0,0.14117648,8.0,0.17977528,7.0,0.14893617
00275791000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00278788000100,0.0,0.0,0.0,0.0,1.0,0.10526316,1.0,0.09090909
00280273000137,236.0,0.24506749,200.0,0.16708438,376.0,0.22169812,772.0,0.23889835
00280273000218,404.0,0.34529915,230.0,0.1554054,270.0,0.14847402,553.0,0.21996818
00281228000105,18.0,0.09090909,8.0,0.07239819,12.0,0.07643312,34.0,0.1184669
00281228000440,1.0,0.2,2.0,0.1904762,1.0,0.0952381,5.0,0.35714287
00288825000153,3.0,0.14285715,0.0,0.0,2.0,0.125,1.0,0.0625
00289348000140,63.0,0.2423077,43.0,0.16195858,105.0,0.37433156,84.0,0.25965998
00292410000153,5.0,0.15625,3.0,0.10344828,8.0,0.23880596,6.0,0.14634146
00293361000173,5.0,0.16666667,4.0,0.13559322,7.0,0.21538462,4.0,0.09756097
00293361000254,7.0,0.1971831,4.0,0.10666667,5.0,0.13513513,2.0,0.051282052
00297598000122,48.0,0.07482463,57.0,0.11862643,41.0,0.11021505,41.0,0.108609274
00298529000133,2.0,0.2857143,1.0,0.18181819,0.0,0.0,0.0,0.0
00299388000173,2.0,0.13333334,3.0,0.15789473,0.0,0.0,2.0,0.13333334
00300646000194,2.0,0.043010753,3.0,0.06122449,3.0,0.05940594,5.0,0.10309278
00304725000173,4.0,0.043010753,5.0,0.055555556,4.0,0.04494382,14.0,0.14
00304730000186,2.0,0.04040404,0.0,0.0,0.0,0.0,0.0,0.0
00306770000167,14.0,0.14070351,8.0,0.077294685,21.0,0.1971831,27.0,0.2109375
00308104000168,3.0,0.31578946,1.0,0.11764706,0.0,0.0,1.0,0.13333334
00308363000199,6.0,0.16216215,26.0,1.2380953,0.0,0.0,1.0,0.25
00310087000101,166.0,0.26926196,175.0,0.30647987,190.0,0.4342857,95.0,0.25885558
00310506000105,55.0,0.18487395,63.0,0.16755319,87.0,0.20398593,83.0,0.17584746
00310506000288,8.0,0.2857143,16.0,0.5,21.0,0.56,13.0,0.31325302
00310506000440,7.0,0.14736842,7.0,0.14141414,12.0,0.20512821,13.0,0.18978103
00310506000601,16.0,0.41025642,19.0,0.59375,19.0,0.5135135,23.0,0.5168539
00310506000792,23.0,0.37398374,39.0,0.47272727,42.0,0.38709676,57.0,0.40569395
00310506000873,3.0,0.11320755,6.0,0.21818182,6.0,0.19354838,2.0,0.05970149
00310506000954,4.0,0.3809524,11.0,0.36666667,20.0,0.4597701,24.0,0.5
00314310000180,5.0,0.05263158,17.0,0.19653179,3.0,0.040268455,7.0,0.11023622
00316841000102,0.0,0.0,1.0,0.08695652,2.0,0.13793103,5.0,0.2631579
00322648000184,34.0,0.0937931,49.0,0.13764045,52.0,0.13630407,56.0,0.14213198
00323013000100,8.0,0.17391305,2.0,0.039215688,5.0,0.094339624,9.0,0.16363636
00325400000177,79.0,0.24012157,57.0,0.15988779,64.0,0.17204301,109.0,0.30068967
00325400000762,19.0,0.20765027,20.0,0.14652015,21.0,0.14141414,28.0,0.1509434
00325907000120,1.0,0.22222222,0.0,0.0,1.0,0.22222222,2.0,0.6666667
00326654000100,9.0,0.119205296,10.0,0.124223605,11.0,0.125,8.0,0.1
00330845000145,28.0,0.0950764,22.0,0.07236842,17.0,0.0529595,38.0,0.10826211
00339239000190,5.0,0.23255815,1.0,0.045454547,7.0,0.35,8.0,0.34042552
00340715000193,23.0,0.26285714,13.0,0.16149068,7.0,0.093959734,8.0,0.120300755
00348003000110,108.0,0.13872832,118.0,0.15012723,163.0,0.20541903,100.0,0.12345679
00348003000200,0.0,0.0,0.0,0.0,1.0,0.25,2.0,0.4
00348003001192,9.0,0.066176474,11.0,0.08029197,9.0,0.06271777,10.0,0.06666667
00348003001273,4.0,0.027874565,16.0,0.112676054,10.0,0.06993007,15.0,0.0990099
00348003001354,5.0,0.017953321,23.0,0.08214286,20.0,0.06849315,15.0,0.04901961
00348003001435,25.0,0.08460237,29.0,0.093851134,25.0,0.07751938,19.0,0.05671642
00348003001516,12.0,0.05839416,21.0,0.09836066,19.0,0.082969435,17.0,0.071428575
00348003001788,3.0,0.21428572,10.0,0.3846154,9.0,0.20224719,20.0,0.2919708
00348003001869,,,4.0,2.0,17.0,0.7234042,15.0,0.26086956
00348003002911,18.0,0.06132879,13.0,0.043405674,14.0,0.045380875,24.0,0.07418856
00348003003640,5.0,0.04,9.0,0.06923077,2.0,0.014705882,4.0,0.028368793
00348003003802,15.0,0.054151624,29.0,0.10357143,24.0,0.08067227,18.0,0.05882353
00348003003993,31.0,0.08322147,47.0,0.12035851,54.0,0.13059251,21.0,0.049704142
00348003004108,19.0,0.05882353,19.0,0.057228915,12.0,0.03560831,13.0,0.037956204
00348003004299,16.0,0.056140352,26.0,0.09043478,10.0,0.034305315,18.0,0.06081081
00348003004450,3.0,0.016216217,16.0,0.08672087,14.0,0.07106599,19.0,0.0900474
00348003004531,19.0,0.09382716,8.0,0.03990025,7.0,0.034313727,12.0,0.055427253
00348003004612,9.0,0.046153847,14.0,0.071428575,13.0,0.063725494,8.0,0.03712297
00348003005260,5.0,0.05882353,14.0,0.15555556,11.0,0.110552765,8.0,0.07339449
00348003005422,2.0,0.01459854,13.0,0.09558824,11.0,0.07746479,12.0,0.08080808
00348003005503,18.0,0.07912088,26.0,0.112798266,17.0,0.070393376,24.0,0.09619238
00348003005856,5.0,0.034129694,14.0,0.093959734,16.0,0.10223642,7.0,0.04347826
00348003006402,3.0,0.019672131,8.0,0.052117262,6.0,0.039087947,8.0,0.049689442
00348003006585,9.0,0.045918368,10.0,0.05221932,8.0,0.040920716,15.0,0.07263923
00348003006666,7.0,0.055776894,6.0,0.046511628,10.0,0.074074075,11.0,0.07746479
00348003006828,5.0,0.0390625,7.0,0.05323194,13.0,0.09386282,13.0,0.08695652
00348003007123,10.0,0.16666667,14.0,0.22764228,22.0,0.33333334,12.0,0.17518248
00348003007204,7.0,0.050179213,6.0,0.04225352,12.0,0.08053691,20.0,0.124610595
00348003007476,5.0,0.45454547,2.0,0.15384616,2.0,0.14285715,2.0,0.13793103
00348003007638,2.0,0.083333336,4.0,0.17391305,2.0,0.08510638,2.0,0.09090909
00348003007808,5.0,0.22222222,2.0,0.09756097,1.0,0.04761905,2.0,0.09090909
00348003007980,0.0,0.0,1.0,0.083333336,0.0,0.0,0.0,0.0
00348003008014,1.0,0.074074075,0.0,0.0,0.0,0.0,0.0,0.0
00348003008103,1.0,0.08695652,3.0,0.26086956,0.0,0.0,2.0,0.15384616
00348003008286,0.0,0.0,1.0,0.074074075,1.0,0.08,0.0,0.0
00348003008367,0.0,0.0,0.0,0.0,1.0,0.13333334,0.0,0.0
00348003008448,1.0,0.074074075,2.0,0.13793103,1.0,0.05882353,1.0,0.055555556
00348003008952,13.0,0.07761194,17.0,0.10149254,12.0,0.068767905,9.0,0.049046323
00348003009339,0.0,0.0,1.0,0.125,1.0,0.11111111,0.0,0.0
00348003009410,3.0,0.25,1.0,0.074074075,1.0,0.06896552,2.0,0.13793103
00348003009924,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0
00348003010000,7.0,0.089171976,6.0,0.073619634,2.0,0.023529412,5.0,0.054347824
00348003010183,6.0,0.057971016,15.0,0.14018692,3.0,0.026666667,10.0,0.08658009
00348003010426,1.0,0.14285715,2.0,0.25,0.0,0.0,1.0,0.11111111
00348003010507,10.0,0.057636887,8.0,0.045714285,9.0,0.050139274,7.0,0.03753351
00348003010850,7.0,0.05645161,9.0,0.07114624,2.0,0.015625,6.0,0.044280443
00348003011236,2.0,0.031746034,7.0,0.10526316,7.0,0.0952381,5.0,0.061728396
00348003011660,6.0,0.07643312,17.0,0.2035928,8.0,0.08791209,1.0,0.010309278
00348003012208,5.0,0.1010101,7.0,0.12962963,11.0,0.18032786,10.0,0.14925373
00348003012399,4.0,0.015037594,9.0,0.033898305,7.0,0.025974026,12.0,0.043956045
00348003012801,19.0,0.040511727,35.0,0.074074075,25.0,0.05070994,13.0,0.025316456
00348003012984,15.0,0.14563107,17.0,0.15044248,9.0,0.072,14.0,0.10852713
00348003013107,0.0,0.0,3.0,0.42857143,1.0,0.125,0.0,0.0
00348003013360,7.0,0.025,9.0,0.031634446,27.0,0.093587525,12.0,0.04130809
00348003013522,7.0,0.041420117,17.0,0.100890204,18.0,0.10495627,12.0,0.06666667
00348003013603,7.0,0.038781162,26.0,0.13903743,11.0,0.056410257,24.0,0.11764706
00348003013794,14.0,0.04011461,15.0,0.042613637,11.0,0.030942334,13.0,0.036161337
00348003014685,1.0,0.2857143,1.0,0.25,3.0,0.6666667,0.0,0.0
00348003014766,12.0,0.3478261,8.0,0.23188406,8.0,0.22535211,7.0,0.17948718
00352294000110,283.0,0.26773888,230.0,0.21718602,340.0,0.28356963,382.0,0.24062993
00352294000463,38.0,0.13893966,53.0,0.20037808,117.0,0.5879397,16.0,0.1
00352294000544,14.0,0.084084086,30.0,0.18575852,48.0,0.33217993,14.0,0.10108303
00352294000625,5.0,0.21276596,1.0,0.039215688,6.0,0.24489796,0.0,0.0
00352294000706,14.0,0.088607594,15.0,0.092307694,28.0,0.15342465,10.0,0.04819277
00352294000897,18.0,0.20930232,9.0,0.0952381,26.0,0.23111111,11.0,0.08560311
00352294000978,9.0,0.16363636,3.0,0.055045873,9.0,0.15517241,4.0,0.064
00352294001001,28.0,0.15864022,17.0,0.08947369,25.0,0.12722646,9.0,0.044226043
