
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.049*",="",="0.049*",="",="0.062**",="",="0.067**",="",="0.045",="",="0.047*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.027)",="",="(0.027)",="",="(0.030)",="",="(0.031)",="",="(0.028)",="",="(0.028)",=""

="0.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="-0.150",="-0.376*",="-0.152",="-0.361*",="-0.204**",="-0.327*",="-0.150",="-0.326*",="-0.244***",="-0.376*",="-0.239***",="-0.361*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.096)",="(0.209)",="(0.095)",="(0.209)",="(0.087)",="(0.189)",="(0.099)",="(0.189)",="(0.083)",="(0.200)",="(0.083)",="(0.200)"

="0.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="0.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="-0.150**",="",="-0.147**",="",="-0.124**",="",="-0.156**",="",="-0.074",="",="-0.082*",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.060)",="",="(0.059)",="",="(0.048)",="",="(0.071)",="",="(0.049)",="",="(0.048)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.032",="",="0.038",="",="0.011",="",="0.013",="",="0.032",="",="0.038"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.026)",="",="(0.026)",="",="(0.023)",="",="(0.026)",="",="(0.025)",="",="(0.025)"

="0.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="0.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.034",="",="-0.062",="",="-0.049",="",="-0.022",="",="-0.034",="",="-0.062*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.041)",="",="(0.038)",="",="(0.031)",="",="(0.045)",="",="(0.039)",="",="(0.036)"

="N",="33410",="12450",="33410",="12450",="33410",="12561",="33410",="12036",="33410",="12450",="33410",="12450",="32043",="11943",="32043",="11943",="32043",="12048",="32043",="11523",="32043",="11943",="32043",="11943"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
